id,walk_m,straight_line_m,routing_penalty_m,routing_method
08f44c229dd00bae03e50b9f529513cb,22.3,22.08,0.22,osrm
08f48c6c6a1538dd035389c7b17be7e9,13.7,22.52,0.0,osrm
08f44e5324661ad603c10376cb1701ab,22.2,22.64,0.0,osrm
08f44a948aa292e903fed6fd7562ee63,6.2,29.79,0.0,osrm
08f264d125a25c5603bf1123a0b81781,8.7,24.6,0.0,osrm
08f2a12625269533035eb0cff3bf0df6,29.7,29.89,0.0,osrm
08f489353129d435032a643c1d04475d,16.0,22.94,0.0,osrm
08f2aaab0a12207303f870c0bea0a166,13.7,23.74,0.0,osrm
08f2a13144ad68a20337ac8051670cb1,458.6,25.99,432.61,osrm
08f274da3411c0ab03e1c67c87919b6e,9.7,19.21,0.0,osrm
08f2aa8d620c469103022824da37048a,1.9,23.56,0.0,osrm
08f446cb1339b8f0033da8b97b288bd6,15.8,23.05,0.0,osrm
08f44ca05b07189603f63fdfb6586c1b,9.4,27.47,0.0,osrm
08f264dab242055a03f56146ca04e98f,108.9,24.67,84.23,osrm
08f2651170d8562a0301771b67b63a5c,0.0,20.92,0.0,osrm
08f27436740a6af60372a666f8064280,9.6,24.39,0.0,osrm
08f28f0bb4da4c6e03b6a80c2bf24959,42.4,18.63,23.77,osrm
08f44e822e20026403f3f6f5fdcc7759,85.4,28.28,57.12,osrm
08f44ca064414308037b7fc6a4a81e4b,21.6,27.52,0.0,osrm
08f2a8464ad8a78c0345885f4ad47180,15.3,23.32,0.0,osrm
08f2b1a43679309c03dbd3be020e7a27,16.2,18.62,0.0,osrm
08f44f44e8adc34203fbe6ae002a8dff,0.5,23.09,0.0,osrm
08f44d51326a1cee03c709f6ec84b831,29.1,28.28,0.82,osrm
08f44f068155604203d67a7b45016bf7,20.6,26.23,0.0,osrm
08f441e76665b33503be371ab046b68c,156.7,23.3,133.4,osrm
08f26653a97ab63003e359ea728ee94e,18.6,23.19,0.0,osrm
08f265b4819abd4b03e0ee88ba3c1310,35.4,27.86,7.54,osrm
08f44d858ad8a8db0341c917e203406c,70.4,24.97,45.43,osrm
08f26cb92482c68603b9f92ec5d0c5fe,36.4,22.25,14.15,osrm
08f441ad446d54200323a1a9871a5d0d,209.3,26.97,182.33,osrm
08f44dab522a8ce503071d6cb1f05b30,14.3,21.61,0.0,osrm
08f2aaca4e1349150373cb3bd945a452,22.5,20.22,2.28,osrm
08f26e3891b90b45032ef877eda67ee3,20.8,24.12,0.0,osrm
08f2aa847286b130031d1110c4c0a9d5,19.0,23.69,0.0,osrm
08f44c104595533403eca0066b2cd478,15.4,22.02,0.0,osrm
08f298901a4b6d1903d27dac59203e9f,68.1,26.16,41.94,osrm
08f2ab1058c351250320b2d4605da62e,4.4,19.91,0.0,osrm
08f0c73a01822aa50370c592bc3f042b,17.8,17.76,0.04,osrm
08f2aa845cd0d733039915c6b9eb1b29,2.7,20.61,0.0,osrm
08f2884518641b7303b3138b48c9b3d3,25.6,26.99,0.0,osrm
08f29add424d584403deaa1c1b3ff107,377.9,21.66,356.24,osrm
08f291a68607550c032e6ec32b2ba169,31.3,24.51,6.79,osrm
08f2a16605c8e0a103307477f3ff27fc,117.1,19.66,97.44,osrm
08f2a8444e55e36b03a9f0b1d4f1aab9,8.7,23.18,0.0,osrm
08f2a9569d5948d10336d010eb0d7c69,20.3,20.31,0.0,osrm
08f26960656c6694038f637ccc8bfd55,11.5,23.11,0.0,osrm
08f2a8626e3946ab03b8d3b318dd1120,18.5,20.12,0.0,osrm
08f26ae79276aba40313ff83a6670dc2,11.9,22.95,0.0,osrm
08f26927718a557303181d9de1abc2ae,24.1,23.57,0.53,osrm
08f2a9626b79b10803952d2762ce8b01,20.0,20.16,0.0,osrm
08f2659a0cc6590803dd941c90df1da4,71.7,35.84,35.86,osrm
08f260c144a4e11403517bb9308e2e4f,18.3,19.66,0.0,osrm
08f44c88ac35270b03eb87a56ebf246c,11.8,21.65,0.0,osrm
08f2a306e5c1a84d03d76847488b5ca6,43.1,22.52,20.58,osrm
08f2a9ecc0598818037399796c6ff9a1,68.4,23.82,44.58,osrm
08f2a10a71a9d123037277fe185c6977,18.6,19.91,0.0,osrm
08f2aac1968c52b103e65413b61afb23,41.7,23.34,18.36,osrm
08f2b99a60a61af603c2dac5a761bbb5,67.8,19.11,48.69,osrm
08f26a23b68ce9ac039c14ba0034ee94,16.8,22.46,0.0,osrm
08f2a16a2d3a516203948095e0ec75da,65.3,19.8,45.5,osrm
08f2a14255ba90f5034ab52b6d5f806a,44.0,22.91,21.09,osrm
08f2aaa78451824903e1d237d3e5da5d,143.0,20.47,122.53,osrm
08f26cbd56b768ce03842e24c557e8df,8.1,25.66,0.0,osrm
08f265ed10cf6006031caf57097c0bb2,0.5,20.91,0.0,osrm
